,NOME_PRODUTO,NM_CLIENTE,forecast_1,forecast_2,forecast_3
0,"Mountain-200 Black, 46",Professional Cycle Store,2.5,2.8,3.0
1,"Mountain-200 Black, 46",Real Sporting Goods,8.7,7.1,6.1
2,"Mountain-200 Black, 46",Many Bikes Store,2.5,2.8,3.0
3,"Mountain-200 Black, 46",Resale Services,5.3,4.7,4.3
4,"Mountain-200 Black, 46",Small Bike Shop,2.3,2.6,2.7
5,"Mountain-200 Black, 46",Sturdy Toys,1.6,2.0,2.3
6,"Mountain-200 Black, 46",Trailblazing Sports,2.2,2.2,2.3
7,"Mountain-200 Black, 46",Family Cycle Store,1.3,1.5,1.6
8,"Mountain-200 Black, 46",Leather Seat Factory,3.1,3.2,3.3
9,"Mountain-200 Black, 46",Original Bicycle Supply Company,1.3,1.6,1.8
10,"Mountain-200 Black, 46",Rapid Bikes,2.1,2.2,2.3
11,"Mountain-200 Black, 46",Rural Cycle Emporium,6.4,5.6,5.2
12,"Mountain-200 Black, 46",Top Sports Supply,3.8,3.8,3.7
13,"Mountain-200 Black, 46",Twelfth Bike Store,3.2,3.3,3.4
14,"Mountain-200 Black, 46",Vigorous Exercise Company,3.8,3.6,3.5
15,"Mountain-200 Black, 46",Field Trip Store,6.1,6.1,6.2
16,"Mountain-200 Black, 46",Initial Bike Company,4.7,4.5,4.4
17,"Mountain-200 Black, 46",Immediate Repair Shop,1.9,2.5,2.9
18,"Mountain-200 Black, 46",Registered Cycle Store,3.0,3.0,3.1
19,"Mountain-200 Black, 46",Spare Parts Co.,2.6,2.9,3.0
20,"Mountain-200 Black, 46",Better Bike Shop,3.7,3.5,3.4
21,"Mountain-200 Black, 46",Grand Discount Store,1.2,1.4,1.5
22,"Mountain-200 Black, 46",Catalog Store,2.1,2.1,2.2
23,"Mountain-200 Black, 46","Fabrikam Inc., West",3.9,3.7,3.7
24,"Mountain-200 Black, 46",Permanent Finish Products,5.5,5.2,4.9
25,"Mountain-200 Black, 46",Casual Bicycle Store,3.5,3.9,4.1
26,"Mountain-200 Black, 46",Fashionable Department Stores,3.0,3.0,3.0
27,"Mountain-200 Black, 46",Chic Department Stores,2.6,2.9,3.0
28,"Mountain-200 Black, 46",Extraordinary Bike Works,4.4,4.0,3.7
29,"Mountain-200 Black, 46",Genial Bike Associates,2.0,2.0,2.0
30,"Mountain-200 Black, 46",Satin Finish Company,4.7,4.5,4.3
31,"Mountain-200 Black, 46",The Gear Store,5.3,5.6,5.8
32,"Mountain-200 Black, 46",Commerce Bicycle Specialists,2.3,2.5,2.5
33,"Mountain-200 Black, 46",Metropolitan Bicycle Supply,4.8,4.6,4.5
34,"Mountain-200 Black, 46",Nearby Cycle Shop,1.6,2.0,2.3
35,"Mountain-200 Black, 46",Brakes and Gears,7.3,6.9,6.6
36,"Mountain-200 Black, 46",Frugal Bike Shop,3.8,3.7,3.6
37,"Mountain-200 Black, 46",Closeout Boutique,2.5,2.8,3.0
38,"Mountain-200 Black, 46",Latest Sports Equipment,7.8,7.7,7.6
39,"Mountain-200 Black, 46",Safe Cycles Shop,4.7,4.5,4.5
40,"Mountain-200 Black, 46",Great Bikes ,10.6,10.2,9.9
41,"Mountain-200 Silver, 42",Real Sporting Goods,3.6,3.3,3.2
42,"Mountain-200 Silver, 42",Many Bikes Store,4.6,4.3,4.1
43,"Mountain-200 Silver, 42",Resale Services,8.1,7.4,6.8
44,"Mountain-200 Silver, 42",Small Bike Shop,3.9,3.8,3.7
45,"Mountain-200 Silver, 42",Trailblazing Sports,2.0,2.0,2.1
46,"Mountain-200 Silver, 42",Family Cycle Store,2.0,2.1,2.1
47,"Mountain-200 Silver, 42",Leather Seat Factory,5.3,5.5,5.7
48,"Mountain-200 Silver, 42",Original Bicycle Supply Company,3.2,2.8,2.5
49,"Mountain-200 Silver, 42",Rapid Bikes,1.8,2.1,2.3
50,"Mountain-200 Silver, 42",Red Bicycle Company,2.5,2.8,3.0
51,"Mountain-200 Silver, 42",Rural Cycle Emporium,5.6,5.3,5.1
52,"Mountain-200 Silver, 42",Top Sports Supply,5.8,5.7,5.6
53,"Mountain-200 Silver, 42",Valley Toy Store,2.6,2.9,3.0
54,"Mountain-200 Silver, 42",Vigorous Exercise Company,2.6,3.1,3.5
55,"Mountain-200 Silver, 42",Field Trip Store,8.6,8.4,8.1
56,"Mountain-200 Silver, 42",Immediate Repair Shop,1.9,2.5,3.0
57,"Mountain-200 Silver, 42",Valuable Bike Parts Company,3.0,2.9,2.9
58,"Mountain-200 Silver, 42",Registered Cycle Store,3.7,4.3,4.6
59,"Mountain-200 Silver, 42",Spare Parts Co.,3.9,3.7,3.7
60,"Mountain-200 Silver, 42",Better Bike Shop,1.8,2.2,2.4
61,"Mountain-200 Silver, 42",Noiseless Gear Company,2.3,2.4,2.6
62,"Mountain-200 Silver, 42",Grand Discount Store,2.2,2.3,2.4
63,"Mountain-200 Silver, 42",Catalog Store,3.0,3.0,3.1
64,"Mountain-200 Silver, 42",Permanent Finish Products,8.8,7.3,6.3
65,"Mountain-200 Silver, 42",Casual Bicycle Store,4.4,4.0,3.8
66,"Mountain-200 Silver, 42",Fashionable Department Stores,2.1,2.1,2.1
67,"Mountain-200 Silver, 42",Chic Department Stores,3.8,3.6,3.4
68,"Mountain-200 Silver, 42",Extraordinary Bike Works,4.1,3.6,3.4
69,"Mountain-200 Silver, 42",Genial Bike Associates,3.0,3.0,2.9
70,"Mountain-200 Silver, 42",Paint Supply,2.1,2.1,2.2
71,"Mountain-200 Silver, 42",The Gear Store,1.8,2.3,2.7
72,"Mountain-200 Silver, 42",Commerce Bicycle Specialists,4.6,4.5,4.4
73,"Mountain-200 Silver, 42",Metropolitan Bicycle Supply,3.4,3.7,4.0
74,"Mountain-200 Silver, 42",Brakes and Gears,9.5,8.5,7.9
75,"Mountain-200 Silver, 42",Closeout Boutique,2.0,2.7,3.1
76,"Mountain-200 Silver, 42",Latest Sports Equipment,4.2,4.3,4.4
77,"Mountain-200 Silver, 42",Safe Cycles Shop,3.8,3.7,3.6
78,"Mountain-200 Silver, 42",Great Bikes ,7.7,7.5,7.4
79,"Mountain-200 Silver, 46",Professional Cycle Store,3.9,3.7,3.7
80,"Mountain-200 Silver, 46",Real Sporting Goods,3.0,3.1,3.1
81,"Mountain-200 Silver, 46",Many Bikes Store,4.7,4.5,4.3
82,"Mountain-200 Silver, 46",Resale Services,1.4,1.7,1.9
83,"Mountain-200 Silver, 46",Sturdy Toys,2.7,3.1,3.4
84,"Mountain-200 Silver, 46",Trailblazing Sports,1.9,1.8,1.8
85,"Mountain-200 Silver, 46",Family Cycle Store,4.0,4.0,4.0
86,"Mountain-200 Silver, 46",Leather Seat Factory,4.0,4.1,4.1
87,"Mountain-200 Silver, 46",Original Bicycle Supply Company,1.7,2.1,2.3
88,"Mountain-200 Silver, 46",Rapid Bikes,1.5,1.8,2.0
89,"Mountain-200 Silver, 46",Red Bicycle Company,2.6,2.9,3.0
90,"Mountain-200 Silver, 46",Rural Cycle Emporium,8.0,7.2,6.7
91,"Mountain-200 Silver, 46",Top Sports Supply,5.3,5.4,5.5
92,"Mountain-200 Silver, 46",Twelfth Bike Store,10.1,9.3,8.6
93,"Mountain-200 Silver, 46",Vigorous Exercise Company,2.6,3.1,3.5
94,"Mountain-200 Silver, 46",Field Trip Store,6.2,6.4,6.5
95,"Mountain-200 Silver, 46",Initial Bike Company,4.1,4.2,4.2
96,"Mountain-200 Silver, 46",Immediate Repair Shop,6.7,6.4,6.2
97,"Mountain-200 Silver, 46",Registered Cycle Store,2.9,3.4,3.7
98,"Mountain-200 Silver, 46",Spare Parts Co.,3.0,2.9,2.9
99,"Mountain-200 Silver, 46",Noiseless Gear Company,3.1,3.2,3.2
